CustomerID,Gender,SeniorCitizen,Tenure,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8017-UVSZU,Female,0,40,Month-to-month,Credit card (automatic),566,23791,No
7100-FQPRV,Male,0,43,One year,Credit card (automatic),719,31733.5,No
2472-OVKUP,Male,0,6,Month-to-month,UPI,910,5310,Yes
2984-RGEYA,Female,0,69,Two year,UPI,197.5,13754,No
9680-NIAUV,Female,0,72,Two year,Credit card (automatic),1097,81293,No
2146-EGVDT,Male,0,59,Two year,Credit card (automatic),193,11927,No
2604-IJPDU,Female,0,20,Month-to-month,UPI,965.5,19016.5,No
9178-JHUVJ,Male,0,24,Two year,UPI,241,5874,No
6168-YBYNP,Male,0,59,Month-to-month,UPI,1113.5,65197.5,No
7255-SSFBC,Male,0,72,Two year,UPI,1122.5,80416.5,No
3645-DEYGF,Male,0,1,Month-to-month,Debit Card,207.5,207.5,No
9323-HGFWY,Female,0,27,One year,Credit card (automatic),1019,26811.5,No
8544-GOQSH,Female,0,14,Month-to-month,Credit card (automatic),800.5,11123,No
3363-DTIVD,Male,0,71,Two year,UPI,1055.5,74055,No
7018-WBJNK,Male,0,13,Month-to-month,Credit card (automatic),783,10339.5,No
9142-KZXOP,Male,0,44,Month-to-month,Credit card (automatic),688.5,29589.5,No
7674-YTAFD,Female,0,33,One year,UPI,799.5,26848.5,No
6348-SNFUS,Male,0,72,Two year,Credit card (automatic),554.5,41792,No
1285-OKIPP,Male,0,1,Month-to-month,UPI,799,799,Yes
7825-ECJRF,Female,0,19,Month-to-month,UPI,1066,19344.5,Yes
1347-KTTTA,Male,0,64,One year,Credit card (automatic),1024.5,66541,No
7841-TZDMQ,Male,0,2,Month-to-month,Credit card (automatic),460,845,Yes
4195-NZGTA,Female,0,1,Month-to-month,UPI,252.5,252.5,No
7157-SMCFK,Male,0,61,Two year,Debit Card,197.5,11242,No
4709-LKHYG,Female,0,29,One year,UPI,200,5400.5,No
2504-DSHIH,Male,1,23,Month-to-month,UPI,868,19758.5,No
0699-NDKJM,Female,0,57,Month-to-month,UPI,587.5,34374.5,No
9286-BHDQG,Male,0,72,Two year,Credit card (automatic),452.5,31398,No
0230-WEQUW,Male,0,66,Two year,UPI,566,37892,No
2040-LDIWQ,Male,0,65,Two year,UPI,842,53245,No
6496-JDSSB,Female,0,8,Month-to-month,UPI,800,6246,No
9408-SSNVZ,Female,0,4,Month-to-month,UPI,701.5,2683.5,Yes
4443-EMBNA,Female,0,71,Two year,UPI,247.5,18369,No
6469-MRVET,Male,0,1,One year,UPI,202,202,No
0742-MOABM,Male,0,4,Month-to-month,Debit Card,500.5,1793.5,Yes
5961-VUSRV,Female,0,12,One year,UPI,193.5,2193.5,No
6778-JFCMK,Male,0,24,One year,Debit Card,506,12887.5,No
6341-JVQGF,Female,0,31,One year,Debit Card,811.5,25457.5,No
2232-DMLXU,Female,0,1,Month-to-month,Debit Card,552,552,Yes
4811-JBUVU,Male,0,30,Month-to-month,Credit card (automatic),899,27231.5,No
0945-TSONX,Female,0,47,Two year,Credit card (automatic),853,41072.5,No
2651-ZCBXV,Male,0,54,Two year,Credit card (automatic),1080,57606.5,No
3316-UWXUY,Male,0,50,Month-to-month,Credit card (automatic),935,47475,No
8937-RDTHP,Male,0,1,Month-to-month,Debit Card,846,846,Yes
7083-MIOPC,Female,0,72,Two year,Credit card (automatic),202.5,15669,No
1984-GPTEH,Female,0,29,Month-to-month,UPI,251.5,7020,No
1251-KRREG,Male,0,2,Month-to-month,Debit Card,544,1141,Yes
0621-JFHOL,Female,0,10,Two year,Debit Card,296,2990.5,No
9903-LYSAB,Male,0,18,Month-to-month,UPI,731.5,13059.5,No
0094-OIFMO,Female,1,11,Month-to-month,UPI,950,11203,Yes
9227-UAQFT,Male,0,16,Two year,Debit Card,197.5,2843.5,No
7301-ABVAD,Female,0,72,Two year,UPI,866,63505,No
6614-FHDBO,Male,0,72,Two year,UPI,1092,78783,No
7576-ASEJU,Female,0,41,One year,Credit card (automatic),747,31876.5,No
9058-HRZSV,Female,1,65,Month-to-month,UPI,944,61261.5,No
4522-AKYLR,Female,1,13,Month-to-month,UPI,548,7313,No
0221-WMXNQ,Male,1,4,Month-to-month,UPI,753.5,2734,No
0303-UNCIP,Male,0,41,One year,Debit Card,650,25318,No
9947-OTFQU,Male,1,15,Month-to-month,UPI,744,10743,Yes
0322-YINQP,Male,0,1,Month-to-month,Debit Card,485.5,485.5,Yes
0959-WHOKV,Male,0,42,One year,UPI,990,42984.5,No
4075-JFPGR,Female,0,51,One year,UPI,935,46195.5,No
4629-NRXKX,Female,0,2,Month-to-month,UPI,704,1471.5,Yes
9514-JDSKI,Male,1,1,Month-to-month,UPI,402,402,Yes
3282-ZISZV,Male,0,32,One year,Credit card (automatic),837,26333,No
3675-YDUPJ,Male,0,10,Month-to-month,Debit Card,198.5,1930.5,No
4111-BNXIF,Female,0,67,Two year,UPI,595.5,41039,No
7017-VFHAY,Female,0,61,Two year,Credit card (automatic),1151,70081.5,No
6655-LHBYW,Male,0,50,One year,Credit card (automatic),1143.5,57911,No
4959-JOSRX,Female,0,2,Month-to-month,Credit card (automatic),446,805.5,Yes
5046-NUHWD,Female,1,29,Month-to-month,UPI,450,12286.5,No
7273-TEFQD,Male,1,3,Month-to-month,UPI,411.5,1322,Yes
3606-TWKGI,Male,1,13,Month-to-month,UPI,1069,13643,Yes
7529-ZDFXI,Male,1,57,Month-to-month,UPI,898.5,49253.5,No
7605-BDWDC,Female,0,31,Two year,UPI,498.5,15201,No
1950-KSVVJ,Female,0,45,One year,Debit Card,1133,50322.5,No
0123-CRBRT,Female,0,61,Two year,Debit Card,881,55267.5,No
6292-TOSSS,Male,0,50,Two year,UPI,249,11952.5,No
3197-ARFOY,Female,1,19,Month-to-month,Debit Card,1050,20072.5,No
6323-AYBRX,Male,0,59,Two year,Debit Card,193.5,10996,Yes
7014-ZZXAW,Female,0,71,Two year,Credit card (automatic),242.5,17329.5,No
4385-GZQXV,Female,1,16,Month-to-month,UPI,944.5,15112,Yes
7633-MVPUY,Male,0,57,Two year,UPI,597.5,34501.5,No
6366-ZGQGL,Male,0,1,Month-to-month,UPI,248,248,Yes
4716-HHKQH,Male,1,20,Month-to-month,UPI,1070.5,21720.5,No
5940-AHUHD,Male,0,1,Month-to-month,Debit Card,706,706,Yes
6432-TWQLB,Male,0,5,Month-to-month,UPI,854,4011,Yes
4484-GLZOU,Female,0,52,Month-to-month,UPI,1050.5,56248.5,Yes
3179-GBRWV,Male,1,21,Month-to-month,UPI,649.5,13398,No
8645-KWHJO,Male,0,14,Month-to-month,UPI,550,7719.5,No
4130-MZLCC,Female,0,5,Month-to-month,UPI,505.5,2447.5,No
0314-TKOSI,Female,0,6,Month-to-month,Debit Card,551.5,3229,No
8229-MYEJZ,Female,0,10,Month-to-month,UPI,512,4982.5,No
2080-SRCDE,Female,0,1,Month-to-month,Debit Card,254,254,No
9577-WJVCQ,Female,0,68,Month-to-month,Debit Card,544.5,36877.5,No
9512-UIBFX,Male,0,18,Month-to-month,Debit Card,951.5,17799.5,Yes
6202-DYYFX,Female,0,22,One year,Credit card (automatic),760,17836,No
3808-HFKDE,Female,0,20,Month-to-month,UPI,443.5,9271.5,No
5583-SXDAG,Male,0,1,Month-to-month,UPI,700,700,Yes
3488-PGMQJ,Male,1,8,Month-to-month,UPI,745,6065.5,Yes
3580-REOAC,Male,0,10,Month-to-month,Credit card (automatic),448.5,4354,Yes
7534-BFESC,Male,1,24,Month-to-month,UPI,761,17127,Yes
3727-OWVYD,Male,0,35,One year,Debit Card,612,20212,No
2294-SALNE,Male,0,23,One year,Debit Card,868,19408,No
4847-TAJYI,Female,1,6,Month-to-month,UPI,893.5,5678,No
1563-IWQEX,Female,0,12,Month-to-month,Debit Card,197,2203.5,No
8203-XJZRC,Male,0,1,Month-to-month,Debit Card,202.5,202.5,No
6556-DBKZF,Female,0,71,Two year,UPI,760.5,54364.5,No
6851-WEFYX,Male,1,35,Month-to-month,UPI,1008,34375,No
2985-JUUBZ,Male,0,40,Month-to-month,UPI,745.5,30157.5,No
6390-DSAZX,Female,0,1,Month-to-month,Debit Card,736,736,Yes
0895-LMRSF,Male,0,23,One year,UPI,649,15098,No
8098-LLAZX,Female,1,4,Month-to-month,UPI,954.5,3961,Yes
8266-VBFQL,Male,0,4,Month-to-month,UPI,904,3566.5,No
8181-YHCMF,Female,0,68,Two year,Credit card (automatic),603,41090,No
2240-HSJQD,Male,0,38,Month-to-month,Debit Card,818.5,31417,No
1248-DYXUB,Male,0,52,Two year,Debit Card,248,12291,No
0265-EDXBD,Male,1,32,Month-to-month,UPI,749,23033.5,Yes
4115-BNPJY,Male,0,29,Two year,Debit Card,755.5,20544,No
3167-SNQPL,Male,1,38,Month-to-month,UPI,1011.5,37418.5,No
4091-TVOCN,Male,0,48,One year,Credit card (automatic),787.5,36824.5,No
1098-TDVUQ,Female,0,1,Month-to-month,UPI,192.5,192.5,No
7277-OZCGZ,Female,0,22,Month-to-month,UPI,890.5,18862.5,No
1557-EMYVT,Female,0,43,Two year,Credit card (automatic),1150.5,48951,No
2799-ARNLO,Female,1,5,Month-to-month,UPI,693.5,3416,No
7563-BIUPC,Male,0,5,Month-to-month,UPI,806,4155.5,Yes
5027-YOCXN,Male,0,51,One year,Credit card (automatic),1100.5,56864,No
3973-SKMLN,Male,0,71,Two year,Credit card (automatic),199,13551,No
2321-OMBXY,Female,0,38,One year,Credit card (automatic),803,30586.5,Yes
2840-XANRC,Male,1,24,Month-to-month,UPI,931.5,22310.5,Yes
6745-JEFZB,Male,0,35,Month-to-month,Credit card (automatic),915,32363.5,No
5020-ZSTTY,Female,1,54,One year,UPI,824.5,43501,Yes
9880-TDQAC,Female,0,72,Two year,UPI,600,42640,No
8705-WZCYL,Male,0,1,Month-to-month,UPI,448,448,No
7102-JJVTX,Female,0,9,One year,Debit Card,486,4223,No
8626-PTQGE,Male,0,69,Two year,UPI,600.5,41767,No
4983-CLMLV,Female,0,52,Month-to-month,Credit card (automatic),1027,51381,No
5701-YVSVF,Female,1,11,Month-to-month,UPI,829,8800.5,No
5804-LEPIM,Female,1,2,Month-to-month,UPI,703.5,1390.5,Yes
5697-GOMBF,Female,1,28,Month-to-month,UPI,359,9736.5,No
2739-CACDQ,Female,1,17,Month-to-month,Credit card (automatic),826.5,14700.5,No
9385-EHGDO,Female,0,35,Two year,Debit Card,198.5,7393.5,No
9498-FIMXL,Female,0,8,One year,Debit Card,192,1619.5,No
2379-GYFLQ,Male,0,46,One year,Credit card (automatic),949,44229.5,No
0122-OAHPZ,Female,0,7,Month-to-month,UPI,738.5,5112.5,Yes
2868-SNELZ,Female,0,2,Month-to-month,Debit Card,806,1558,Yes
4322-RCYMT,Male,0,68,One year,UPI,758,52939.5,Yes
6680-NENYN,Female,0,43,Two year,UPI,1046,47598.5,Yes
2088-IEBAU,Female,0,68,Two year,UPI,881.5,61484.5,No
7982-VCELR,Female,0,36,Month-to-month,Credit card (automatic),948,35656.5,No
1343-EHPYB,Male,0,63,Month-to-month,UPI,1034,66030,Yes
6035-BXTTY,Female,1,32,Month-to-month,UPI,546.5,18301,No
6885-PKOAM,Female,0,71,Two year,Credit card (automatic),857.5,62238,No
7520-HQWJU,Female,0,66,Month-to-month,UPI,674.5,45086.5,No
9639-BUJXT,Male,0,63,One year,Debit Card,205,13281.5,No
5924-SNGKP,Female,0,41,One year,Credit card (automatic),202.5,8650,No
0021-IKXGC,Female,1,1,Month-to-month,UPI,721,721,No
2034-GDRCN,Female,0,2,Month-to-month,UPI,904,1682,Yes
8966-SNIZF,Female,0,70,Two year,UPI,194.5,13035,No
6243-OZGFH,Female,0,23,Month-to-month,UPI,449.5,9968.5,No
4654-DLAMQ,Female,1,64,One year,UPI,970,64309,No
0513-RBGPE,Male,0,37,Two year,Credit card (automatic),628,22787.5,No
5160-UXJED,Male,0,17,One year,Debit Card,446,6814,No
4115-NZRKS,Female,1,7,Month-to-month,UPI,891.5,5743.5,No
0219-YTZUE,Male,0,4,Month-to-month,UPI,848,3719,Yes
0623-IIHUG,Female,1,21,Month-to-month,UPI,419,8401,Yes
4572-DVCGN,Female,0,10,Month-to-month,UPI,802.5,8460,Yes
3351-NGXYI,Female,1,16,Month-to-month,UPI,541,8890,No
8984-EYLLL,Male,0,64,Two year,UPI,1052.5,68234,No
9057-MSWCO,Male,1,27,Month-to-month,Credit card (automatic),307.5,8051,Yes
9833-TGFHX,Male,0,42,One year,UPI,971,40167.5,No
9294-TDIPC,Male,0,5,Month-to-month,Debit Card,202,837.5,No
5229-DTFYB,Female,0,41,Two year,UPI,988,39591.5,No
0104-PPXDV,Male,0,58,One year,Credit card (automatic),503,28785.5,No
5176-LMJXE,Female,0,47,Two year,Debit Card,205.5,9457,No
3583-KRKMD,Male,0,18,Month-to-month,UPI,759,13730.5,No
1010-DIAUQ,Male,0,5,Month-to-month,UPI,965,4925.5,Yes
9069-LGEUL,Male,0,23,Month-to-month,UPI,599.5,14060,No
7302-ZHMHP,Female,0,1,Month-to-month,Debit Card,191.5,191.5,No
9571-EDEBV,Male,0,71,One year,Credit card (automatic),986.5,69628.5,No
3520-FJGCV,Male,0,72,Two year,Credit card (automatic),1126,81266.5,No
6563-VRERX,Male,0,33,One year,Debit Card,206,6902.5,No
0259-GBZSH,Male,0,2,Month-to-month,UPI,856.5,1815,Yes
6122-EFVKN,Male,0,24,Two year,Debit Card,357.5,8308,No
2805-EDJPQ,Female,0,56,One year,Credit card (automatic),997.5,56084,No
6862-CQUMB,Male,0,37,Month-to-month,Credit card (automatic),961,36468,No
7156-MXBJE,Female,0,43,One year,Credit card (automatic),851,36622.5,No
6158-HDPXZ,Male,0,1,Month-to-month,Debit Card,253.5,253.5,No
9601-BRXPO,Female,0,25,Month-to-month,UPI,1049.5,25665,Yes
